ASN,Description
"AS12816","Leibniz-Rechenzentrum"
"AS209828","Genc BT Bilisim Teknolojileri Limited Sirketi"
"AS51167","Contabo GmbH"
"AS38532","Exabytes Network (Singapore) Pte. Ltd."
"AS45839","Shinjiru Technology Sdn Bhd"
"AS141039","Packethub s.a."
"AS23470","ReliableSite.Net LLC"
"AS48090","PPTECHNOLOGY LIMITED"
"AS52207","JSC ER-Telecom Holding"
"AS40021","Nubes, LLC"
"AS140810","Megacore Technology Company Limited"
"AS14987","Rethem Hosting LLC"
"AS63949","Akamai Connected Cloud"
"AS51747","Internet Vikings International AB"
"AS58519","Cloud Computing Corporation"
"AS19437","SECURED SERVERS LLC"
"AS30475","Handy Networks, LLC"
"AS46261","QuickPacket, LLC"
"AS132203","Tencent Building, Kejizhongyi Avenue"
"AS394711","Limenet"
"AS45102","Alibaba (US) Technology Co., Ltd."
"AS208312","Red Byte LLC"
"AS7941","Internet Archive"
"AS202468","Noyan Abr Arvan Co. (Private Joint Stock)"
"AS16276","OVH SAS"
"AS35779","mCloud doo"
"AS197795","ColdHosting SL"
"AS211557","TAYNET TEKNOLOJI TICARET LIMITED SIRKETI"
"AS211619","MAXKO d.o.o."
"AS34549","meerfarbig GmbH &amp; Co. KG"
"AS12876","SCALEWAY S.A.S."
"AS396982","Google LLC"
"AS44477","STARK INDUSTRIES SOLUTIONS LTD"
"AS51852","Private Layer INC"
"AS44620","Tres Teknoloji A.S."
"AS198651","HOSTLINE, UAB"
"AS9028","OHOST LLC"
"AS31229","Beyond.pl sp. z o.o."
"AS215703","ALEXANDRU VLAD trading as FREAKHOSTING"
"AS24940","Hetzner Online GmbH"
"AS60798","Servereasy Srl"
"AS44222","Nuno Felgueiras"
"AS201094","Mulgin Alexander Sergeevich"
"AS203394","MDCLOUD LTD"
"AS210644","AEZA INTERNATIONAL LTD"
"AS210756","EdgeCenter LLC"
"AS43289","Trabia SRL"
"AS14576","Hosting Solution Ltd."
"AS41925","Limited Liability Company Izet Telecom Ural"
"AS206446","CLOUD LEASE Ltd"
"AS14593","Space Exploration Technologies Corporation"
"AS200019","ALEXHOST SRL"
"AS26383","Baxet Group Inc."
"AS208264","HAMED SHIRVANI BAGHERI"
"AS268581","QNAX LTDA"
"AS60423","E-Money Net Developers 24 Company Private Joint Stock"
"AS18978","Enzu Inc"
"AS47285","Patron Technology Persia Ltd"
"AS215540","GLOBAL CONNECTIVITY SOLUTIONS LLP"
"AS49556","Web Dadeh Paydar Co (Ltd)"
"AS149042","Silicon Cloud Global (US)"
"AS207713","GLOBAL INTERNET SOLUTIONS LLC"
"AS21859","Zenlayer Inc"
"AS203087","PE Fedinyak Sergey Vyacheslavovich"
"AS14061","DigitalOcean, LLC"
"AS14618","AWS"
"AS202306","HOSTGLOBAL.PLUS LTD"
"AS8075","Microsoft Corporation"
"AS136557","Host Universal Pty Ltd"
"AS212238","Datacamp Limited"
"AS60068","Datacamp Limited"
"AS9009","M247"
"AS16509","AWS"
"AS61317","Hivelocity LLC"
"AS22363","Powerhouse Management, Inc."
"AS398108","GoDaddy.com, LLC"
"AS398705","Censys, Inc."
"AS398324","Censys, Inc."
"AS398722","Censys, Inc."
"AS49870","Alsycon B.V."
"AS59729","GREEN FLOID LLC"
"AS206264","Amarutu Technology Ltd"
"AS19871","Network Solutions, LLC"
"AS56694","LLC Smart Ape"
"AS399486","VIRTUO"
"AS8796","FASTNET DATA INC"
"AS29550","Simply Transit Ltd"
"AS209366","SEMrush CY LTD"
"AS59504","LLC Vpsville"
"AS6461","Zayo Bandwidth"
"AS18779","EGIHosting"
"AS397731","EliteWork LLC"
"AS57695","Misaka Network, Inc."
"AS62904","Eonix Corporation"
"AS13332","Hype Enterprises"
"AS55286","B2 Net Solutions Inc."
"AS34665","Petersburg Internet Network ltd."
"AS62240","Clouvider"
"AS40355","Sundance International LLC"
"AS9123","TimeWeb Ltd."
"AS57523","Chang Way Technologies Co. Limited"
"AS42730","EVANZO e-commerce GmbH"
"AS202425","IP Volume inc"
"AS211298","INTERNET MEASUREMENT"
"AS49434","FBW NETWORKS SAS"
"AS134768","CHINANET SHAANXI province Cloud Base network"
"AS42708","GleSYS AB"
"AS200373","3xK Tech GmbH"
"AS42473","ANEXIA Internetdienstleistungs GmbH"
"AS197540","netcup GmbH"
"AS12552","GlobalConnect AB"
"AS139201","Jiangxi Jiujiang IDC"
"AS29066","velia.net Internetdienste GmbH"
"AS19994","Rackspace Hosting"
"AS61335","PE Denis Podolskii"
"AS24961","WIIT AG"
"AS207566","Chang Way Technologies Co. Limited"
"AS150436","Byteplus Pte. Ltd."
"AS60504","Spike Telecom LLC"
"AS42926","Radore Veri Merkezi Hizmetleri A.S."
"AS216071","SERVERS TECH FZCO"
"AS53850","GorillaServers, Inc."
"AS8560","IONOS SE"
"AS212860","AIRNET llc"
"AS3223","Voxility LLP"
"AS395954","Leaseweb USA, Inc."
"AS213186","Yanoor Islam Khan"
"AS39351","31173 Services AB"
"AS51396","Pfcloud UG"
"AS31898","Oracle Corporation"
"AS401120","cheapy.host LLC"
"AS401115","EKABI"
"AS9558","PrimeCrown Technologies Private Limited"
"AS53667","FranTech Solutions"
"AS401116","Nybula LLC"
"AS141892","CV Andhika Pratama Sanggoro"
"AS29522","Cyber_Folks S.A."
